ID,Müşteri Talebi,Banka Yanıtı
429,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
430,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
431,Kredi kartı borcumu nasıl yapılandırabilirim?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
432,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
433,Hesap bakiyemi yanlış görüyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
434,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
435,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
436,Dijital bankacılık uygulamanızda bir hata alıyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
437,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
438,Kredi kartı limitimi nasıl artırırım?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
439,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
440,Kredi kartı borcumu nasıl yapılandırabilirim?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
441,Kredi kartı limitimi nasıl artırırım?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
442,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
443,Hesap bakiyemi yanlış görüyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
444,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
445,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
446,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
447,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
448,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
449,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
450,"Kredi kartım kayboldu, ne yapmalıyım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
451,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
452,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
453,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
454,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
455,Kredi kartı limitimi nasıl artırırım?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
456,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
457,Havale ücreti neden kesildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
458,Kredi kartı limitimi nasıl artırırım?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
459,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
460,Hesap bakiyemi yanlış görüyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
461,"ATM'de para sıkıştı, nasıl geri alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
462,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
463,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
464,"Ödemem iki kez çekildi, nasıl iade alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
465,"ATM'de para sıkıştı, nasıl geri alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
466,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
467,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
468,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
469,Kredi kartı borcumu nasıl yapılandırabilirim?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
470,Kredi kartı limitimi nasıl artırırım?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
471,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
472,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
473,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
474,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
475,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
476,Kredi kartı limitimi nasıl artırırım?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
477,Kredi kartı limitimi nasıl artırırım?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
478,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
479,Havale ücreti neden kesildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
480,Kredi kartı limitimi nasıl artırırım?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
481,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
482,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
483,Kredi kartı limitimi nasıl artırırım?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
484,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
485,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
486,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
487,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
488,Kredi kartı limitimi nasıl artırırım?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
489,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
490,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
491,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
492,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
493,Havale ücreti neden kesildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
494,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
495,Kredi başvurum neden reddedildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
496,"Ödemem iki kez çekildi, nasıl iade alırım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
497,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
498,"Kredi kartım kayboldu, ne yapmalıyım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
499,Kredi kartı borcumu nasıl yapılandırabilirim?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
500,Hesap bakiyemi yanlış görüyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
501,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
502,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
503,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
504,"ATM'de para sıkıştı, nasıl geri alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
505,Hesap bakiyemi yanlış görüyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
506,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
507,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
508,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
509,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
510,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
511,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
512,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
513,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
514,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
515,"ATM'de para sıkıştı, nasıl geri alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
516,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
517,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
518,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
519,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
520,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
521,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
522,Kredi kartı limitimi nasıl artırırım?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
523,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
524,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
525,Havale ücreti neden kesildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
526,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
527,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
528,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
529,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
530,Hesap bakiyemi yanlış görüyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
531,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
532,Kredi kartı limitimi nasıl artırırım?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
533,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
534,Kredi başvurum neden reddedildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
535,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
536,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
537,"Ödemem iki kez çekildi, nasıl iade alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
538,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
539,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
540,Kredi başvurum neden reddedildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
541,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
542,Kredi kartı borcumu nasıl yapılandırabilirim?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
543,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
544,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
545,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
546,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
547,Kredi başvurum neden reddedildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
548,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
549,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
550,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
551,Kredi başvurum neden reddedildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
552,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
553,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
554,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
555,"ATM'de para sıkıştı, nasıl geri alırım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
556,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
557,Kredi kartı limitimi nasıl artırırım?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
558,"Ödemem iki kez çekildi, nasıl iade alırım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
559,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
560,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
561,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
562,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
563,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
564,Hesap bakiyemi yanlış görüyorum.,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
565,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
566,"Ödemem iki kez çekildi, nasıl iade alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
567,Kredi kartı limitimi nasıl artırırım?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
568,"Kredi kartım kayboldu, ne yapmalıyım?","Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
569,"Ödemem iki kez çekildi, nasıl iade alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
570,Kredi başvurum neden reddedildi?,"Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
571,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
572,Havale ücreti neden kesildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
573,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
574,Kredi kartı limitimi nasıl artırırım?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
575,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
576,Kredi kartı limitimi nasıl artırırım?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
577,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
578,"ATM'de para sıkıştı, nasıl geri alırım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
579,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
580,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
581,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
582,Havale ücreti neden kesildi?,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
583,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
584,Havale ücreti neden kesildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
585,"ATM'de para sıkıştı, nasıl geri alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
586,Kredi başvurum neden reddedildi?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
587,Kredi kartı limitimi nasıl artırırım?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
588,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
589,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
590,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
591,Dijital bankacılık uygulamanızda bir hata alıyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
592,Kredi kartı borcumu nasıl yapılandırabilirim?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
593,"ATM'de para sıkıştı, nasıl geri alırım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
594,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
595,Kredi başvurum neden reddedildi?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
596,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
597,"Ödemem iki kez çekildi, nasıl iade alırım?","Kredi kartınızı hemen iptal ettik, yeni kartınızı talep edebilirsiniz."
598,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
599,Kredi kartı borcumu nasıl yapılandırabilirim?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
600,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
601,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
602,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
603,Havale ücreti neden kesildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
604,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
605,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
606,Kredi kartı borcumu nasıl yapılandırabilirim?,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
607,"Kredi kartım kayboldu, ne yapmalıyım?",İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
608,Dijital bankacılık uygulamanızda bir hata alıyorum.,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
609,Kredi kartı borcumu nasıl yapılandırabilirim?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
610,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
611,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
612,"Kredi kartım kayboldu, ne yapmalıyım?",ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
613,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
614,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
615,"Ödemem iki kez çekildi, nasıl iade alırım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
616,Kredi başvurum neden reddedildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
617,Hesap bakiyemi yanlış görüyorum.,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
618,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
619,Hesap bakiyemi yanlış görüyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
620,Dijital bankacılık uygulamanızda bir hata alıyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
621,Hesap bakiyemi yanlış görüyorum.,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
622,Kredi başvurum neden reddedildi?,"Havale ücretleri banka politikalarına göre değişmektedir, detaylar için müşteri temsilcisine danışabilirsiniz."
623,"Kredi kartım kayboldu, ne yapmalıyım?",Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
624,Hesap bakiyemi yanlış görüyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
625,"Kredi kartım kayboldu, ne yapmalıyım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
626,Dijital bankacılık uygulamanızda bir hata alıyorum.,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
627,Hesap bakiyemi yanlış görüyorum.,Dijital bankacılık uygulamanızı güncelleyerek tekrar deneyin.
628,Dijital bankacılık uygulamanızda bir hata alıyorum.,Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
629,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Hesap bakiyenizi güncellemek için müşteri hizmetlerini arayabilirsiniz.
630,Havale ücreti neden kesildi?,Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
631,Kredi kartı limitimi nasıl artırırım?,İkinci kez çekilen ödeme 48 saat içinde iade edilecektir.
632,Kredi başvurum neden reddedildi?,Kredi başvurunuzun neden reddedildiğini öğrenmek için müşteri hizmetleriyle iletişime geçin.
633,Havale ücreti neden kesildi?,ATM'de sıkışan paranız 24 saat içinde hesabınıza iade edilecektir.
634,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
635,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
636,Kredi başvurum neden reddedildi?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
637,"Kredi kartım kayboldu, ne yapmalıyım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
638,Havale ücreti neden kesildi?,Kredi kartı borcunuzu yapılandırmak için banka şubenize başvurabilirsiniz.
639,"Mobil bankacılık şifremi unuttum, nasıl sıfırlarım?",Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
640,Kredi kartı borcumu nasıl yapılandırabilirim?,Şifrenizi sıfırlamak için SMS doğrulaması yapmanız gerekmektedir.
641,"Ödemem iki kez çekildi, nasıl iade alırım?",Kredi kartı limit artışı için başvuru yaptınız mı? Gelirinizi belgelemeniz gerekebilir.
